datetime,symbol,time,open,high,low,close,volume,amount,next_page_token
2025-03-27 14:30:00,META,1743085800000,612.07,612.1,610.8508,611.41,30545,18679640.572300002,
2025-03-27 14:31:00,META,1743085860000,611.41,611.77,611.0001,611.2178,25845,15801687.926799947,
2025-03-27 14:32:00,META,1743085920000,611.2178,611.82,611.04,611.735,16000,9782219.2291,
2025-03-27 14:33:00,META,1743085980000,611.735,611.735,610.96,611.22,23259,14216662.521600004,
2025-03-27 14:34:00,META,1743086040000,611.22,611.71,610.97,611.4959,65960,40328322.4942,
2025-03-27 14:35:00,META,1743086100000,611.4959,611.9099,611.37,611.745,17084,10449477.853699991,
2025-03-27 14:36:00,META,1743086160000,611.745,611.82,610.95,610.95,29109,17798925.504100002,
2025-03-27 14:37:00,META,1743086220000,610.95,613.33,610.95,613.33,47687,29193077.21869999,
2025-03-27 14:38:00,META,1743086280000,613.33,613.68,612.41,612.41,59279,36338966.554799974,
2025-03-27 14:39:00,META,1743086340000,612.49,612.63,611.85,612.08,27526,16852001.24819997,
2025-03-27 14:40:00,META,1743086400000,611.975,612.4,611.6,612.33,19225,11765147.215600012,
2025-03-27 14:41:00,META,1743086460000,612.3818,613.1299,612.3572,612.775,33621,20598933.919699993,
2025-03-27 14:42:00,META,1743086520000,612.775,612.94,612.3,612.415,16841,10318171.171500009,
2025-03-27 14:43:00,META,1743086580000,612.415,613.0,612.415,612.9003,18914,11589354.819599995,
2025-03-27 14:44:00,META,1743086640000,612.9003,613.1844,612.58,612.97,31137,19086461.338899996,
2025-03-27 14:45:00,META,1743086700000,612.97,613.35,612.89,613.23,36333,22275318.02869999,
2025-03-27 14:46:00,META,1743086760000,613.23,613.68,613.03,613.2665,24905,15276090.077399999,
2025-03-27 14:47:00,META,1743086820000,613.2665,613.88,613.2665,613.54,33037,20270645.79499999,
2025-03-27 14:48:00,META,1743086880000,613.54,613.62,613.0718,613.2831,30111,18466464.235300016,
2025-03-27 14:49:00,META,1743086940000,613.2831,613.64,612.32,612.7516,25480,15617429.37309999,
2025-03-27 14:50:00,META,1743087000000,612.7516,612.775,611.58,611.636,22696,13894685.240300016,
2025-03-27 14:51:00,META,1743087060000,611.636,612.02,611.16,612.01,17368,10623050.088199988,
2025-03-27 14:52:00,META,1743087120000,612.01,612.29,611.8,611.96,16396,10034419.218999999,
2025-03-27 14:53:00,META,1743087180000,611.96,613.2199,611.96,612.87,19528,11965539.85579999,
2025-03-27 14:54:00,META,1743087240000,612.87,613.3823,612.8289,613.35,21861,13404887.167299997,
2025-03-27 14:55:00,META,1743087300000,613.35,614.08,613.25,614.08,28401,17428733.129000016,
2025-03-27 14:56:00,META,1743087360000,614.01,614.2,612.91,613.1612,18304,11231394.423899988,
2025-03-27 14:57:00,META,1743087420000,613.25,613.8699,613.03,613.75,19460,11937943.036800016,
2025-03-27 14:58:00,META,1743087480000,613.75,613.87,613.05,613.145,17382,10662491.876000019,
2025-03-27 14:59:00,META,1743087540000,613.145,613.73,612.82,613.73,37091,22749681.266700014,
2025-03-27 15:00:00,META,1743087600000,613.64,614.0946,613.33,613.9401,26996,16568540.873999983,
2025-03-27 15:01:00,META,1743087660000,614.05,614.25,613.68,613.95,26526,16285010.281899966,
2025-03-27 15:02:00,META,1743087720000,613.95,614.1599,613.22,613.22,22785,13985674.1665,
2025-03-27 15:03:00,META,1743087780000,613.22,613.3752,612.7,612.8,19875,12182369.171600014,
2025-03-27 15:04:00,META,1743087840000,612.8,612.97,612.51,612.63,9614,5890670.929599994,
2025-03-27 15:05:00,META,1743087900000,612.63,613.04,612.53,612.99,17426,10679334.657600006,
2025-03-27 15:06:00,META,1743087960000,612.99,613.22,612.7913,613.2,17847,10940944.363600008,
2025-03-27 15:07:00,META,1743088020000,613.2,613.2,612.7309,612.83,12715,7794146.864400005,
2025-03-27 15:08:00,META,1743088080000,612.83,612.83,611.5556,611.6405,32490,19886873.672500014,
2025-03-27 15:09:00,META,1743088140000,611.6405,611.74,611.42,611.5138,17301,10581064.698499985,
2025-03-27 15:10:00,META,1743088200000,611.5138,612.29,611.3,612.1,45299,27717849.350500003,
2025-03-27 15:11:00,META,1743088260000,612.1,612.51,611.64,612.167,62146,38054130.36690003,
2025-03-27 15:12:00,META,1743088320000,612.167,612.435,612.0,612.07,16851,10316150.370700013,
2025-03-27 15:13:00,META,1743088380000,612.07,612.24,611.5892,611.7673,10798,6606927.72332,
2025-03-27 15:14:00,META,1743088440000,611.7673,612.25,611.74,612.215,11146,6821646.102000003,
2025-03-27 15:15:00,META,1743088500000,612.215,612.215,611.7601,611.905,25091,15352797.56961999,
2025-03-27 15:16:00,META,1743088560000,611.905,612.22,611.528,611.528,10732,6567165.664700005,
