datetime,symbol,time,open,high,low,close,volume,amount,next_page_token
2025-03-03 14:30:00,NVDA,1741012200000,123.49,123.57,122.74,122.98,4485548,553012896.919251,a2xpbmUyLjB8TlZEQXwxbWlufDE3NDA4OTA3ODgwNzR8MTc0MTI3MzE3MDAwMA==
2025-03-03 14:31:00,NVDA,1741012260000,122.98,123.32,122.47,122.7107,1461380,179543670.38724965,a2xpbmUyLjB8TlZEQXwxbWlufDE3NDA4OTA3ODgwNzR8MTc0MTI3MzE3MDAwMA==
2025-03-03 14:32:00,NVDA,1741012320000,122.7107,123.18,122.5,123.17,1508631,185322154.19790035,a2xpbmUyLjB8TlZEQXwxbWlufDE3NDA4OTA3ODgwNzR8MTc0MTI3MzE3MDAwMA==
2025-03-03 14:33:00,NVDA,1741012380000,123.17,123.7,122.8,122.935,1435142,176845155.6848005,a2xpbmUyLjB8TlZEQXwxbWlufDE3NDA4OTA3ODgwNzR8MTc0MTI3MzE3MDAwMA==
2025-03-03 14:34:00,NVDA,1741012440000,122.94,123.065,122.12,122.31,1681307,206087434.1343496,a2xpbmUyLjB8TlZEQXwxbWlufDE3NDA4OTA3ODgwNzR8MTc0MTI3MzE3MDAwMA==
2025-03-03 14:35:00,NVDA,1741012500000,122.31,122.73,121.765,121.79,2220477,271280689.2080669,a2xpbmUyLjB8TlZEQXwxbWlufDE3NDA4OTA3ODgwNzR8MTc0MTI3MzE3MDAwMA==
2025-03-03 14:36:00,NVDA,1741012560000,121.79,121.93,121.3,121.6941,1778737,216199644.394539,a2xpbmUyLjB8TlZEQXwxbWlufDE3NDA4OTA3ODgwNzR8MTc0MTI3MzE3MDAwMA==
2025-03-03 14:37:00,NVDA,1741012620000,121.6941,121.76,121.21,121.23,1499879,182179443.02339974,a2xpbmUyLjB8TlZEQXwxbWlufDE3NDA4OTA3ODgwNzR8MTc0MTI3MzE3MDAwMA==
2025-03-03 14:38:00,NVDA,1741012680000,121.23,121.32,120.7,121.01,1844764,223101052.43221366,a2xpbmUyLjB8TlZEQXwxbWlufDE3NDA4OTA3ODgwNzR8MTc0MTI3MzE3MDAwMA==
2025-03-03 14:39:00,NVDA,1741012740000,121.01,121.0997,120.48,120.6324,1851614,223581590.3895464,a2xpbmUyLjB8TlZEQXwxbWlufDE3NDA4OTA3ODgwNzR8MTc0MTI3MzE3MDAwMA==
2025-03-03 14:40:00,NVDA,1741012800000,120.72,120.9,120.08,120.23,2384833,287229521.05897087,a2xpbmUyLjB8TlZEQXwxbWlufDE3NDA4OTA3ODgwNzR8MTc0MTI3MzE3MDAwMA==
