datetime,symbol,time,open,high,low,close,volume,amount,next_page_token
2025-03-27 13:57:00,SPY,1743083820000,568.3,568.32,567.98,568.26,89249,50710053.390100025,
2025-03-27 13:58:00,SPY,1743083880000,568.26,568.43,568.0703,568.3,120813,68653796.7422,
2025-03-27 13:59:00,SPY,1743083940000,568.3,568.36,568.1,568.33,121989,69321415.67409997,
2025-03-27 14:00:00,SPY,1743084000000,568.33,568.9,568.13,568.81,174707,99342877.51390018,
2025-03-27 14:01:00,SPY,1743084060000,568.81,568.89,568.4598,568.59,223963,127355334.46519989,
2025-03-27 14:02:00,SPY,1743084120000,568.59,568.94,568.38,568.63,184836,105100514.82569997,
2025-03-27 14:03:00,SPY,1743084180000,568.64,568.74,568.3,568.3,115953,65919564.742600076,
2025-03-27 14:04:00,SPY,1743084240000,568.3,568.64,568.3,568.53,179194,101867148.43889992,
2025-03-27 14:05:00,SPY,1743084300000,568.51,568.7,568.3905,568.51,51490,29274265.76869997,
2025-03-27 14:06:00,SPY,1743084360000,568.51,568.815,568.32,568.79,87152,49556561.81500001,
2025-03-27 14:07:00,SPY,1743084420000,568.79,568.79,568.21,568.415,111205,63203570.221999966,
2025-03-27 14:08:00,SPY,1743084480000,568.415,568.43,567.83,567.84,140995,80101922.77070004,
2025-03-27 14:09:00,SPY,1743084540000,567.84,568.34,567.7891,568.27,129211,73398599.40040007,
2025-03-27 14:10:00,SPY,1743084600000,568.27,568.27,567.53,567.63,68461,38877007.07770007,
2025-03-27 14:11:00,SPY,1743084660000,567.63,568.06,567.56,567.94,121018,68706827.90860027,
2025-03-27 14:12:00,SPY,1743084720000,567.94,568.26,567.83,568.25,62990,35779831.74900004,
2025-03-27 14:13:00,SPY,1743084780000,568.25,568.73,568.25,568.62,142335,80918844.7703,
2025-03-27 14:14:00,SPY,1743084840000,568.62,569.07,568.62,568.87,118169,67221929.7169001,
2025-03-27 14:15:00,SPY,1743084900000,568.87,568.94,568.44,568.55,70005,39813409.83530002,
2025-03-27 14:16:00,SPY,1743084960000,568.55,568.72,568.44,568.51,52808,30027162.634799976,
2025-03-27 14:17:00,SPY,1743085020000,568.51,568.77,568.35,568.7599,45570,25906876.780000027,
2025-03-27 14:18:00,SPY,1743085080000,568.7599,568.82,568.58,568.68,73793,41966389.236100055,
2025-03-27 14:19:00,SPY,1743085140000,568.69,569.2597,568.69,569.09,92992,52920022.96040009,
2025-03-27 14:20:00,SPY,1743085200000,569.09,569.2,568.32,568.36,151266,86038399.68759999,
2025-03-27 14:21:00,SPY,1743085260000,568.36,568.545,568.275,568.45,71458,40620827.23149996,
2025-03-27 14:22:00,SPY,1743085320000,568.45,568.68,568.3632,568.4098,32937,18726115.11800005,
2025-03-27 14:23:00,SPY,1743085380000,568.407,568.48,568.2416,568.3051,27930,15873938.53919999,
2025-03-27 14:24:00,SPY,1743085440000,568.3051,568.67,568.23,568.6363,38430,21848495.059800033,
2025-03-27 14:25:00,SPY,1743085500000,568.6363,568.99,568.52,568.8068,41270,23472793.260799993,
2025-03-27 14:26:00,SPY,1743085560000,568.8068,568.97,568.7502,568.86,28511,16218865.657300126,
2025-03-27 14:27:00,SPY,1743085620000,568.86,569.0499,568.8,568.92,38676,22003206.44380045,
2025-03-27 14:28:00,SPY,1743085680000,568.91,569.25,568.88,569.1964,78474,44651107.926200025,
2025-03-27 14:29:00,SPY,1743085740000,569.1964,569.58,569.1461,569.52,176145,100301165.33609988,
2025-03-27 14:30:00,SPY,1743085800000,569.52,569.64,569.315,569.35,114091,64970638.82830005,
2025-03-27 14:31:00,SPY,1743085860000,569.35,569.62,569.25,569.31,188862,107546708.18750006,
2025-03-27 14:32:00,SPY,1743085920000,569.31,569.75,569.27,569.73,46407,26428830.831400022,
2025-03-27 14:33:00,SPY,1743085980000,569.73,569.78,569.53,569.53,113798,64822700.38340006,
2025-03-27 14:34:00,SPY,1743086040000,569.53,569.785,569.53,569.71,88458,50391748.57849996,
2025-03-27 14:35:00,SPY,1743086100000,569.71,569.866,569.66,569.866,89528,51009634.685100086,
2025-03-27 14:36:00,SPY,1743086160000,569.866,569.91,569.6,569.6,163517,93153645.26039998,
2025-03-27 14:37:00,SPY,1743086220000,569.6,570.04,569.6,570.03,103410,58932415.60849999,
2025-03-27 14:38:00,SPY,1743086280000,570.03,570.49,570.03,570.44,166844,95143088.03119986,
2025-03-27 14:39:00,SPY,1743086340000,570.44,570.455,570.2,570.2,151210,86238481.48549993,
2025-03-27 14:40:00,SPY,1743086400000,570.2,570.39,570.01,570.39,157686,89907954.12839998,
2025-03-27 14:41:00,SPY,1743086460000,570.39,570.47,570.23,570.38,82985,47330747.600400105,
2025-03-27 14:42:00,SPY,1743086520000,570.38,570.575,570.28,570.41,120396,68677757.90179995,
2025-03-27 14:43:00,SPY,1743086580000,570.41,570.6,570.37,570.4,65453,37341408.56460001,
2025-03-27 14:44:00,SPY,1743086640000,570.4,570.46,570.29,570.41,83860,47831700.71849998,
2025-03-27 14:45:00,SPY,1743086700000,570.41,570.5983,570.35,570.52,66776,38093103.26900005,
2025-03-27 14:46:00,SPY,1743086760000,570.52,570.53,570.3,570.37,55216,31496093.917499956,
2025-03-27 14:47:00,SPY,1743086820000,570.37,570.47,570.14,570.18,87421,49859320.47830005,
2025-03-27 14:48:00,SPY,1743086880000,570.18,570.23,569.97,570.1544,137823,78570573.67970012,
2025-03-27 14:49:00,SPY,1743086940000,570.1544,570.26,569.88,569.97,96956,55270098.463099964,
2025-03-27 14:50:00,SPY,1743087000000,569.97,570.22,569.79,569.79,56296,32090589.179900046,
2025-03-27 14:51:00,SPY,1743087060000,569.79,570.2,569.72,570.2,58692,33452069.59439998,
2025-03-27 14:52:00,SPY,1743087120000,570.2,570.34,570.17,570.24,89944,51289777.45010002,
2025-03-27 14:53:00,SPY,1743087180000,570.24,570.65,570.23,570.5293,93932,53587204.21109999,
2025-03-27 14:54:00,SPY,1743087240000,570.5293,570.69,570.46,570.66,76541,43671605.07689995,
2025-03-27 14:55:00,SPY,1743087300000,570.66,570.75,570.59,570.725,92456,52760869.25410002,
