datetime,symbol,time,open,high,low,close,volume,amount,next_page_token
2025-03-27 13:57:00,QQQ,1743083820000,483.68,483.75,483.36,483.6,79526,38455685.04880003,
2025-03-27 13:58:00,QQQ,1743083880000,483.6,483.84,483.32,483.55,158209,76496248.3213999,
2025-03-27 13:59:00,QQQ,1743083940000,483.54,483.685,483.41,483.59,91318,44159081.62390001,
2025-03-27 14:00:00,QQQ,1743084000000,483.59,484.18,483.34,484.1,202731,98101929.25279991,
2025-03-27 14:01:00,QQQ,1743084060000,484.1,484.22,483.6401,483.7188,135301,65468411.55899998,
2025-03-27 14:02:00,QQQ,1743084120000,483.7188,484.16,483.53,483.8191,94840,45887931.784299925,
2025-03-27 14:03:00,QQQ,1743084180000,483.8191,483.97,483.5,483.5,64637,31266337.76629998,
2025-03-27 14:04:00,QQQ,1743084240000,483.5,483.88,483.47,483.68,37691,18230090.7607,
2025-03-27 14:05:00,QQQ,1743084300000,483.66,483.99,483.58,483.79,81685,39515334.4582,
2025-03-27 14:06:00,QQQ,1743084360000,483.79,483.99,483.5,483.96,75992,36759609.021599956,
2025-03-27 14:07:00,QQQ,1743084420000,483.96,483.975,483.17,483.5,121041,58513085.88519991,
2025-03-27 14:08:00,QQQ,1743084480000,483.5,483.5,482.78,482.78,85106,41119022.76190001,
2025-03-27 14:09:00,QQQ,1743084540000,482.78,483.27,482.69,483.1201,79696,38493439.710500054,
2025-03-27 14:10:00,QQQ,1743084600000,483.16,483.16,482.41,482.55,76286,36819833.777,
2025-03-27 14:11:00,QQQ,1743084660000,482.55,483.125,482.52,483.0,299864,144780346.06635985,
2025-03-27 14:12:00,QQQ,1743084720000,483.0,483.3463,482.86,483.325,39616,19138495.357599996,
2025-03-27 14:13:00,QQQ,1743084780000,483.325,483.82,483.325,483.82,81312,39324164.27699971,
2025-03-27 14:14:00,QQQ,1743084840000,483.82,484.09,483.7201,483.915,88126,42645224.63454005,
2025-03-27 14:15:00,QQQ,1743084900000,483.915,484.03,483.37,483.5175,81049,39203262.67559996,
2025-03-27 14:16:00,QQQ,1743084960000,483.5175,483.65,483.31,483.38,52786,25522994.9898,
2025-03-27 14:17:00,QQQ,1743085020000,483.38,483.73,483.21,483.73,64895,31375061.598200023,
2025-03-27 14:18:00,QQQ,1743085080000,483.73,483.85,483.41,483.49,48683,23543331.280999992,
2025-03-27 14:19:00,QQQ,1743085140000,483.49,484.04,483.45,483.85,77082,37297544.75979998,
2025-03-27 14:20:00,QQQ,1743085200000,483.85,484.05,483.08,483.13,104729,50629795.34649993,
2025-03-27 14:21:00,QQQ,1743085260000,483.1,483.32,483.0216,483.1601,75269,36368068.90899998,
2025-03-27 14:22:00,QQQ,1743085320000,483.1601,483.4,483.0301,483.04,141480,68354144.55269992,
2025-03-27 14:23:00,QQQ,1743085380000,483.04,483.16,482.93,483.01,37348,18040481.10580004,
2025-03-27 14:24:00,QQQ,1743085440000,483.01,483.42,482.98,483.34,67024,32389659.002499986,
2025-03-27 14:25:00,QQQ,1743085500000,483.354,483.87,483.24,483.72,180959,87541825.64030008,
