datetime,symbol,time,open,high,low,close,volume,amount,next_page_token
2025-02-26 14:30:00,META,1740580200000,660.33,660.5,658.0,659.21,274300,180931427.53590024,
2025-02-26 14:31:00,META,1740580260000,659.21,663.28,658.77,663.01,132632,87647886.26510008,
2025-02-26 14:32:00,META,1740580320000,663.01,663.1862,659.62,660.43,54844,36282834.29529997,
2025-02-26 14:33:00,META,1740580380000,660.43,660.7,659.66,660.2199,60670,40050024.05860003,
2025-02-26 14:34:00,META,1740580440000,660.2199,661.1,658.91,660.7325,69666,45980394.22019998,
2025-02-26 14:35:00,META,1740580500000,660.7325,663.0389,660.42,662.325,95827,63422897.66799996,
2025-02-26 14:36:00,META,1740580560000,662.325,664.6365,661.98,663.6571,79821,52959121.45999981,
2025-02-26 14:37:00,META,1740580620000,663.6571,665.9,663.42,665.6401,96919,64421336.526789956,
2025-02-26 14:38:00,META,1740580680000,665.6401,666.12,663.68,663.88,79332,52779671.39270003,
2025-02-26 14:39:00,META,1740580740000,663.88,665.9,663.46,665.82,40790,27127697.30649999,
2025-02-26 14:40:00,META,1740580800000,665.82,666.1969,664.0,664.1889,50618,33680627.559599996,
2025-02-26 14:41:00,META,1740580860000,664.1889,665.55,663.72,665.0,62654,41635554.652300015,
2025-02-26 14:42:00,META,1740580920000,665.35,665.88,663.04,664.3199,91323,60694475.2267003,
2025-02-26 14:43:00,META,1740580980000,664.3199,665.2,663.0252,665.2,29364,19494779.09899998,
2025-02-26 14:44:00,META,1740581040000,665.2,665.55,664.53,665.405,31163,20726808.68579997,
2025-02-26 14:45:00,META,1740581100000,665.405,666.5,664.25,666.3467,61502,40929812.445299864,
2025-02-26 14:46:00,META,1740581160000,666.3467,667.0943,665.1922,666.68,66145,44075915.8666801,
2025-02-26 14:47:00,META,1740581220000,666.68,667.97,666.63,667.1,71692,47843953.26250003,
2025-02-26 14:48:00,META,1740581280000,667.1,668.54,667.1,668.09,88552,59155085.07870012,
2025-02-26 14:49:00,META,1740581340000,668.09,669.1099,667.97,668.73,81411,54432133.291299924,
2025-02-26 14:50:00,META,1740581400000,668.73,668.9765,667.85,668.04,71183,47582646.43340005,
2025-02-26 14:51:00,META,1740581460000,668.04,669.23,667.85,669.19,38101,25469957.86399001,
2025-02-26 14:52:00,META,1740581520000,669.19,671.18,669.01,670.965,99749,66841307.09959993,
2025-02-26 14:53:00,META,1740581580000,670.985,671.0005,669.2432,669.465,59369,39783344.175159946,
2025-02-26 14:54:00,META,1740581640000,669.465,671.7999,669.465,671.7,64593,43322992.34210016,
2025-02-26 14:55:00,META,1740581700000,671.7,672.38,670.71,671.285,109709,73684387.91222021,
2025-02-26 14:56:00,META,1740581760000,671.285,671.46,670.04,670.85,62907,42201535.71290011,
2025-02-26 14:57:00,META,1740581820000,670.85,671.14,670.5,671.1,55514,37243311.49409998,
2025-02-26 14:58:00,META,1740581880000,671.1,672.17,670.885,671.76,80498,54060894.539299905,
2025-02-26 14:59:00,META,1740581940000,671.76,672.4,671.3,672.2,72223,48521831.240599945,
