datetime,symbol,time,open,high,low,close,volume,amount,next_page_token
2025-03-10 13:30:00,QQQ,1741613400000,483.5,483.59,482.87,483.44,676531,326968679.5241066,
2025-03-10 13:31:00,QQQ,1741613460000,483.42,483.86,482.7,483.6299,207820,100449688.86259997,
2025-03-10 13:32:00,QQQ,1741613520000,483.6299,483.63,481.88,482.2,339279,163688137.26999974,
2025-03-10 13:33:00,QQQ,1741613580000,482.2,482.25,481.19,481.53,237606,114462656.37280004,
2025-03-10 13:34:00,QQQ,1741613640000,481.54,481.97,481.25,481.96,305614,147219543.94899994,
2025-03-10 13:35:00,QQQ,1741613700000,481.96,482.92,481.88,482.725,242947,117220347.14530003,
2025-03-10 13:36:00,QQQ,1741613760000,482.725,482.89,481.71,482.03,226137,109077528.61969988,
2025-03-10 13:37:00,QQQ,1741613820000,482.03,482.28,481.64,482.23,185603,89453261.98610002,
2025-03-10 13:38:00,QQQ,1741613880000,482.25,482.795,482.13,482.455,186086,89774240.44669998,
2025-03-10 13:39:00,QQQ,1741613940000,482.455,482.76,481.98,482.456,170717,82357225.49020003,
2025-03-10 13:40:00,QQQ,1741614000000,482.456,483.31,482.04,483.23,217349,104913467.75499989,
2025-03-10 13:41:00,QQQ,1741614060000,483.23,483.62,482.82,482.99,200252,96747933.79619989,
2025-03-10 13:42:00,QQQ,1741614120000,482.99,483.4652,482.83,483.29,141797,68501171.78620002,
2025-03-10 13:43:00,QQQ,1741614180000,483.29,483.67,482.88,483.15,132706,64127989.96939998,
2025-03-10 13:44:00,QQQ,1741614240000,483.15,483.97,482.96,483.5363,152664,73814953.69430006,
2025-03-10 13:45:00,QQQ,1741614300000,483.5363,483.83,483.1581,483.48,160175,77435512.63079984,
2025-03-10 13:46:00,QQQ,1741614360000,483.48,483.87,482.94,482.9899,127410,61596222.05499987,
2025-03-10 13:47:00,QQQ,1741614420000,483.0,483.0,482.105,482.71,182857,88236724.7656401,
2025-03-10 13:48:00,QQQ,1741614480000,482.71,482.715,481.92,482.06,166737,80398797.40840009,
2025-03-10 13:49:00,QQQ,1741614540000,482.06,482.73,481.6,482.43,154951,74715100.68144001,
2025-03-10 13:50:00,QQQ,1741614600000,482.47,483.08,482.31,482.77,126125,60886102.80889989,
2025-03-10 13:51:00,QQQ,1741614660000,482.77,483.04,481.47,481.54,547913,264278124.72699958,
2025-03-10 13:52:00,QQQ,1741614720000,481.61,481.82,481.07,481.57,202408,97454824.24117014,
2025-03-10 13:53:00,QQQ,1741614780000,481.53,481.53,480.94,481.0,201719,97065071.33220012,
2025-03-10 13:54:00,QQQ,1741614840000,481.0,481.04,480.2,480.6805,267506,128539827.1121002,
2025-03-10 13:55:00,QQQ,1741614900000,480.6805,481.51,480.6805,481.39,166457,80079665.95020013,
2025-03-10 13:56:00,QQQ,1741614960000,481.39,481.98,480.9909,481.665,208141,100241915.9961001,
2025-03-10 13:57:00,QQQ,1741615020000,481.59,482.05,481.54,481.83,97982,47204288.01899994,
2025-03-10 13:58:00,QQQ,1741615080000,481.83,482.18,481.6,481.84,106736,51442754.785899974,
