datetime,open,high,low,close,volume
2025-03-05 14:30:00,389.41,390.21,388.89,390.1,468150
2025-03-05 14:31:00,390.1,391.85,389.895,391.545,108254
2025-03-05 14:32:00,391.545,392.31,390.83,391.275,105664
2025-03-05 14:33:00,391.275,391.6245,390.54,391.5625,46771
2025-03-05 14:34:00,391.5625,391.82,391.19,391.46,87903
2025-03-05 14:35:00,391.47,391.76,391.0,391.4866,67103
2025-03-05 14:36:00,391.4866,391.59,390.68,391.105,87506
2025-03-05 14:37:00,391.105,391.4,390.56,390.665,88906
2025-03-05 14:38:00,390.665,390.705,389.8,389.93,59208
2025-03-05 14:39:00,389.93,390.5771,389.75,390.51,66613
2025-03-05 14:40:00,390.51,391.1,390.35,390.78,94839
2025-03-05 14:41:00,390.845,391.26,390.58,390.95,64457
2025-03-05 14:42:00,390.95,391.8176,390.93,391.5,96092
2025-03-05 14:43:00,391.5,391.7061,390.87,390.96,70817
2025-03-05 14:44:00,390.96,391.34,390.709,391.3396,34233
2025-03-05 14:45:00,391.3396,391.64,390.99,391.565,51037
2025-03-05 14:46:00,391.565,391.95,391.3801,391.56,61333
2025-03-05 14:47:00,391.56,391.57,390.79,391.275,40577
2025-03-05 14:48:00,391.275,391.72,390.915,391.2,41126
2025-03-05 14:49:00,391.2,391.365,390.68,390.695,44287
2025-03-05 14:50:00,390.67,391.3213,390.56,391.0,43576
2025-03-05 14:51:00,391.0,391.33,390.94,391.16,30246
2025-03-05 14:52:00,391.16,391.28,390.9495,391.045,38872
2025-03-05 14:53:00,391.045,391.32,390.58,390.775,32188
2025-03-05 14:54:00,390.775,390.775,389.86,390.07,58726
2025-03-05 14:55:00,390.07,390.49,389.7,389.795,37591
2025-03-05 14:56:00,389.795,389.99,389.12,389.2,48589
2025-03-05 14:57:00,389.2,389.39,388.81,389.06,48695
2025-03-05 14:58:00,389.06,389.865,389.03,389.865,36074
2025-03-05 14:59:00,389.865,389.96,389.11,389.15,58040
2025-03-05 15:00:00,389.15,391.7,389.15,391.12,154567
2025-03-05 15:01:00,391.12,391.12,390.46,390.62,38427
2025-03-05 15:02:00,390.62,390.82,390.11,390.69,55218
2025-03-05 15:03:00,390.59,390.88,390.46,390.715,33070
2025-03-05 15:04:00,390.715,391.39,390.715,391.0,71180
2025-03-05 15:05:00,391.0,391.36,390.835,390.98,34598
2025-03-05 15:06:00,390.98,391.55,390.79,391.38,45785
2025-03-05 15:07:00,391.38,392.23,391.29,392.165,71944
2025-03-05 15:08:00,392.165,392.2,391.85,392.085,33240
2025-03-05 15:09:00,392.085,392.39,391.9,392.08,71843
2025-03-05 15:10:00,392.08,392.33,391.7601,391.955,37651
2025-03-05 15:11:00,391.955,392.2,391.76,391.935,40400
2025-03-05 15:12:00,391.935,392.7,391.73,392.6354,43581
2025-03-05 15:13:00,392.6354,392.6354,392.0,392.05,35772
2025-03-05 15:14:00,392.05,392.35,391.7,392.35,31754
2025-03-05 15:15:00,392.35,392.6,392.12,392.39,72632
2025-03-05 15:16:00,392.39,393.18,392.27,392.62,70479
2025-03-05 15:17:00,392.62,392.62,391.85,392.54,35247
2025-03-05 15:18:00,392.54,392.68,391.81,391.975,29008
2025-03-05 15:19:00,391.975,392.21,391.7445,392.21,36467
2025-03-05 15:20:00,392.21,392.47,391.95,392.185,44208
2025-03-05 15:21:00,392.185,392.38,391.32,391.73,47101
2025-03-05 15:22:00,391.725,392.51,391.7,392.47,46022
2025-03-05 15:23:00,392.47,392.65,392.3517,392.45,34201
2025-03-05 15:24:00,392.45,392.46,391.9,391.9,44289
2025-03-05 15:25:00,391.9,392.04,391.74,391.885,32776
2025-03-05 15:26:00,391.885,392.0,391.52,391.7564,27952
2025-03-05 15:27:00,391.7564,391.7564,391.33,391.355,29293
2025-03-05 15:28:00,391.355,391.425,391.074,391.29,39127
2025-03-05 15:29:00,391.29,391.8199,391.29,391.54,32716
2025-03-05 15:30:00,391.54,391.67,391.22,391.64,29074
2025-03-05 15:31:00,391.64,391.695,391.38,391.5,25416
2025-03-05 15:32:00,391.5,391.7,391.3,391.52,25186
2025-03-05 15:33:00,391.52,392.19,391.4,391.88,42914
2025-03-05 15:34:00,391.88,392.04,391.7,391.83,28865
2025-03-05 15:35:00,391.83,392.5,391.7516,392.43,25501
2025-03-05 15:36:00,392.43,392.445,392.03,392.07,22707
2025-03-05 15:37:00,392.07,392.405,392.01,392.23,20588
2025-03-05 15:38:00,392.23,392.65,392.23,392.455,32576
2025-03-05 15:39:00,392.455,393.09,392.455,392.79,38570
2025-03-05 15:40:00,392.79,392.915,392.4701,392.535,38200
2025-03-05 15:41:00,392.53,392.6,392.36,392.56,37312
2025-03-05 15:42:00,392.56,392.62,391.51,391.63,30183
2025-03-05 15:43:00,391.63,392.51,391.63,392.285,18405
2025-03-05 15:44:00,392.285,392.44,392.2501,392.39,11872
2025-03-05 15:45:00,392.39,392.61,392.257,392.35,38488
2025-03-05 15:46:00,392.35,392.79,392.29,392.79,52785
2025-03-05 15:47:00,392.79,392.79,392.35,392.35,16854
2025-03-05 15:48:00,392.35,392.5,392.15,392.285,27342
2025-03-05 15:49:00,392.285,392.305,391.85,392.17,24557
2025-03-05 15:50:00,392.17,392.21,391.69,391.79,22235
2025-03-05 15:51:00,391.79,391.86,391.3,391.61,27794
2025-03-05 15:52:00,391.61,392.23,391.44,392.05,11572
2025-03-05 15:53:00,392.05,392.52,392.05,392.415,18277
2025-03-05 15:54:00,392.415,392.69,392.28,392.48,20934
