datetime,symbol,time,open,high,low,close,volume,amount,next_page_token
2025-03-18 13:30:00,QQQ,1742304600000,479.41,479.61,478.48,478.505,327605,156946474.59809852,a2xpbmUyLjB8UVFRfDFtaW58MTc0MjI4NDUzNzg2NHwxNzQyNTY1NTcwMDAw
2025-03-18 13:31:00,QQQ,1742304660000,478.505,478.79,478.33,478.5201,122310,58531087.62210001,a2xpbmUyLjB8UVFRfDFtaW58MTc0MjI4NDUzNzg2NHwxNzQyNTY1NTcwMDAw
2025-03-18 13:32:00,QQQ,1742304720000,478.51,479.03,478.51,478.81,127280,60943449.29759999,a2xpbmUyLjB8UVFRfDFtaW58MTc0MjI4NDUzNzg2NHwxNzQyNTY1NTcwMDAw
2025-03-18 13:33:00,QQQ,1742304780000,478.8,479.21,478.66,478.85,122966,58895619.50239998,a2xpbmUyLjB8UVFRfDFtaW58MTc0MjI4NDUzNzg2NHwxNzQyNTY1NTcwMDAw
2025-03-18 13:34:00,QQQ,1742304840000,478.85,478.89,477.9798,478.1452,235235,112532547.23660006,a2xpbmUyLjB8UVFRfDFtaW58MTc0MjI4NDUzNzg2NHwxNzQyNTY1NTcwMDAw
2025-03-18 13:35:00,QQQ,1742304900000,478.1452,478.1452,477.14,477.42,393296,187804639.93900013,a2xpbmUyLjB8UVFRfDFtaW58MTc0MjI4NDUzNzg2NHwxNzQyNTY1NTcwMDAw
2025-03-18 13:36:00,QQQ,1742304960000,477.42,477.42,476.81,477.125,163157,77831495.19569996,a2xpbmUyLjB8UVFRfDFtaW58MTc0MjI4NDUzNzg2NHwxNzQyNTY1NTcwMDAw
2025-03-18 13:37:00,QQQ,1742305020000,477.125,477.125,476.39,476.5501,219350,104547939.97320008,a2xpbmUyLjB8UVFRfDFtaW58MTc0MjI4NDUzNzg2NHwxNzQyNTY1NTcwMDAw
2025-03-18 13:38:00,QQQ,1742305080000,476.65,477.18,476.51,477.09,230051,109686815.25152016,a2xpbmUyLjB8UVFRfDFtaW58MTc0MjI4NDUzNzg2NHwxNzQyNTY1NTcwMDAw
2025-03-18 13:39:00,QQQ,1742305140000,477.09,477.295,476.49,476.66,162809,77633488.06670004,a2xpbmUyLjB8UVFRfDFtaW58MTc0MjI4NDUzNzg2NHwxNzQyNTY1NTcwMDAw
