datetime,symbol,time,open,high,low,close,volume,amount,next_page_token
2025-03-26 13:30:00,QQQ,1742995800000,492.3,492.59,492.16,492.4697,268073,132008952.68570222,
2025-03-26 13:31:00,QQQ,1742995860000,492.4697,492.7099,492.25,492.43,99561,49030072.095000006,
2025-03-26 13:32:00,QQQ,1742995920000,492.42,492.81,492.25,492.25,95733,47147273.15049997,
2025-03-26 13:33:00,QQQ,1742995980000,492.27,492.27,491.74,491.84,108903,53573242.74079994,
2025-03-26 13:34:00,QQQ,1742996040000,491.84,492.19,491.69,492.04,121499,59774420.42760003,
2025-03-26 13:35:00,QQQ,1742996100000,492.05,492.66,492.05,492.66,93627,46093643.21149994,
2025-03-26 13:36:00,QQQ,1742996160000,492.66,492.9,492.47,492.535,84303,41538179.242400065,
2025-03-26 13:37:00,QQQ,1742996220000,492.535,492.779,492.3854,492.7399,90808,44730451.65010005,
2025-03-26 13:38:00,QQQ,1742996280000,492.73,493.09,492.69,493.04,108065,53268091.53129997,
2025-03-26 13:39:00,QQQ,1742996340000,493.04,493.16,492.58,492.79,321860,158633840.27080014,
2025-03-26 13:40:00,QQQ,1742996400000,492.79,493.12,492.75,492.805,43566,21476288.977200005,
2025-03-26 13:41:00,QQQ,1742996460000,492.805,492.95,492.4268,492.52,82918,40853067.197699904,
2025-03-26 13:42:00,QQQ,1742996520000,492.52,492.71,492.26,492.3153,48817,24039701.236900035,
2025-03-26 13:43:00,QQQ,1742996580000,492.3153,492.38,492.0001,492.3463,68853,33889775.64120003,
2025-03-26 13:44:00,QQQ,1742996640000,492.3463,492.46,492.02,492.4599,41964,20657519.885000017,
2025-03-26 13:45:00,QQQ,1742996700000,492.4599,492.7,492.22,492.2697,77209,38018940.34990001,
2025-03-26 13:46:00,QQQ,1742996760000,492.24,492.25,491.8,491.83,85274,41954835.01030007,
2025-03-26 13:47:00,QQQ,1742996820000,491.83,491.95,491.53,491.805,151865,74674505.44900005,
2025-03-26 13:48:00,QQQ,1742996880000,491.805,491.9121,491.39,491.58,86505,42522697.989300035,
2025-03-26 13:49:00,QQQ,1742996940000,491.58,491.62,491.16,491.37,134287,65983873.671700075,
2025-03-26 13:50:00,QQQ,1742997000000,491.37,491.37,491.01,491.25,208183,102252178.17129993,
2025-03-26 13:51:00,QQQ,1742997060000,491.25,491.52,491.0,491.07,149759,73571295.23220015,
2025-03-26 13:52:00,QQQ,1742997120000,491.07,491.25,490.94,491.07,93036,45686727.0773,
2025-03-26 13:53:00,QQQ,1742997180000,491.07,491.07,490.37,490.64,123768,60728366.49089997,
2025-03-26 13:54:00,QQQ,1742997240000,490.62,490.86,490.55,490.755,85728,42069564.36729992,
2025-03-26 13:55:00,QQQ,1742997300000,490.755,490.7775,490.23,490.31,83722,41060476.48001005,
2025-03-26 13:56:00,QQQ,1742997360000,490.3,490.45,489.9,490.0097,127157,62323485.98419992,
2025-03-26 13:57:00,QQQ,1742997420000,490.0097,490.0097,489.13,489.3,168144,82295393.44049995,
2025-03-26 13:58:00,QQQ,1742997480000,489.3,489.68,489.11,489.6712,147538,72209665.49369979,
2025-03-26 13:59:00,QQQ,1742997540000,489.67,489.7175,489.34,489.3504,237549,116273898.94909999,
2025-03-26 14:00:00,QQQ,1742997600000,489.38,489.95,489.2,489.82,322120,157734718.6787999,
2025-03-26 14:01:00,QQQ,1742997660000,489.82,489.9,489.53,489.785,92464,45284234.60619999,
2025-03-26 14:02:00,QQQ,1742997720000,489.785,490.31,489.46,489.94,299889,146922802.92780012,
2025-03-26 14:03:00,QQQ,1742997780000,489.94,490.23,489.7403,489.8,128405,62910729.88850002,
2025-03-26 14:04:00,QQQ,1742997840000,489.8,489.9499,489.43,489.65,162877,79756897.45379998,
2025-03-26 14:05:00,QQQ,1742997900000,489.62,489.89,489.4378,489.751,74980,36720480.17010036,
2025-03-26 14:06:00,QQQ,1742997960000,489.751,489.9499,489.46,489.67,100849,49386141.761500366,
2025-03-26 14:07:00,QQQ,1742998020000,489.655,489.92,489.38,489.71,109031,53391568.310400195,
2025-03-26 14:08:00,QQQ,1742998080000,489.71,489.7699,489.42,489.66,87554,42865887.24649995,
2025-03-26 14:09:00,QQQ,1742998140000,489.66,489.66,488.96,489.28,118755,58105984.80340006,
2025-03-26 14:10:00,QQQ,1742998200000,489.28,489.6163,489.26,489.54,90807,44446167.4842,
2025-03-26 14:11:00,QQQ,1742998260000,489.54,489.5697,489.24,489.39,56777,27786296.10369999,
2025-03-26 14:12:00,QQQ,1742998320000,489.39,489.39,488.91,488.965,93252,45604448.07560002,
2025-03-26 14:13:00,QQQ,1742998380000,488.98,489.34,488.84,488.92,73524,35958433.91070004,
2025-03-26 14:14:00,QQQ,1742998440000,488.92,489.5,488.915,489.4001,57212,27994738.951799985,
2025-03-26 14:15:00,QQQ,1742998500000,489.4001,489.57,489.0355,489.065,54502,26669279.090100016,
2025-03-26 14:16:00,QQQ,1742998560000,489.09,489.25,488.78,489.0399,76634,37471338.7462,
2025-03-26 14:17:00,QQQ,1742998620000,489.0399,489.1468,488.7704,489.0799,83135,40652773.3894,
2025-03-26 14:18:00,QQQ,1742998680000,489.0799,489.22,488.87,488.88,110178,53876900.528,
2025-03-26 14:19:00,QQQ,1742998740000,488.88,488.88,488.44,488.44,141878,69319811.2687,
2025-03-26 14:20:00,QQQ,1742998800000,488.44,488.521,487.845,488.0,196850,96075630.15069987,
2025-03-26 14:21:00,QQQ,1742998860000,488.0,488.0,487.6128,487.71,126891,61902975.25523995,
2025-03-26 14:22:00,QQQ,1742998920000,487.71,487.75,487.3901,487.47,127342,62083225.30089992,
2025-03-26 14:23:00,QQQ,1742998980000,487.475,487.69,487.2101,487.58,200866,97917354.51590016,
2025-03-26 14:24:00,QQQ,1742999040000,487.58,487.97,487.56,487.89,151577,73935241.26360008,
2025-03-26 14:25:00,QQQ,1742999100000,487.89,488.16,487.7863,487.98,123339,60185188.70920013,
2025-03-26 14:26:00,QQQ,1742999160000,487.98,488.27,487.8709,488.19,75871,37031410.94710004,
2025-03-26 14:27:00,QQQ,1742999220000,488.19,488.56,488.17,488.44,103473,50539562.88359996,
2025-03-26 14:28:00,QQQ,1742999280000,488.44,488.59,488.41,488.41,71422,34889687.18359993,
2025-03-26 14:29:00,QQQ,1742999340000,488.41,488.66,488.36,488.6009,68896,33655190.34549995,
2025-03-26 14:30:00,QQQ,1742999400000,488.6009,488.65,488.32,488.41,102601,50119365.10639999,
2025-03-26 14:31:00,QQQ,1742999460000,488.3949,488.77,488.3,488.77,71604,34981694.74599993,
2025-03-26 14:32:00,QQQ,1742999520000,488.77,488.79,488.6501,488.7149,65585,32052704.676999994,
2025-03-26 14:33:00,QQQ,1742999580000,488.7149,488.83,488.58,488.6112,31752,15517185.356119975,
2025-03-26 14:34:00,QQQ,1742999640000,488.6112,488.65,488.44,488.62,70761,34567511.33579995,
2025-03-26 14:35:00,QQQ,1742999700000,488.62,488.72,488.45,488.67,30983,15138728.765199969,
2025-03-26 14:36:00,QQQ,1742999760000,488.66,488.89,488.59,488.64,93291,45600367.10219999,
2025-03-26 14:37:00,QQQ,1742999820000,488.64,488.76,488.5527,488.7,52545,25676258.014000032,
2025-03-26 14:38:00,QQQ,1742999880000,488.7,488.88,488.7,488.75,28733,14045039.670099976,
2025-03-26 14:39:00,QQQ,1742999940000,488.75,488.7788,488.48,488.6,49006,23942899.324700013,
2025-03-26 14:40:00,QQQ,1743000000000,488.6,488.8,488.5,488.7656,39397,19250461.976000037,
2025-03-26 14:41:00,QQQ,1743000060000,488.7656,488.82,488.52,488.82,29767,14545823.484639982,
2025-03-26 14:42:00,QQQ,1743000120000,488.82,488.82,488.47,488.55,27963,13664403.977399992,
2025-03-26 14:43:00,QQQ,1743000180000,488.55,488.58,488.45,488.4701,22395,10940351.384499976,
2025-03-26 14:44:00,QQQ,1743000240000,488.49,488.56,488.3801,488.5,42087,20557851.87680003,
2025-03-26 14:45:00,QQQ,1743000300000,488.5,488.58,488.35,488.3625,66067,32269865.17770002,
2025-03-26 14:46:00,QQQ,1743000360000,488.3625,488.39,487.97,488.19,133253,65046360.95410006,
2025-03-26 14:47:00,QQQ,1743000420000,488.19,488.31,488.12,488.17,61330,29942325.666999977,
2025-03-26 14:48:00,QQQ,1743000480000,488.19,488.3097,488.03,488.1,40317,19681474.674,
2025-03-26 14:49:00,QQQ,1743000540000,488.1,488.14,487.96,488.03,42757,20867736.44220001,
2025-03-26 14:50:00,QQQ,1743000600000,488.03,488.53,488.0051,488.5,49893,24364004.94590002,
2025-03-26 14:51:00,QQQ,1743000660000,488.5,488.72,488.5,488.71,51719,25270603.41449997,
2025-03-26 14:52:00,QQQ,1743000720000,488.71,488.957,488.6003,488.957,53434,26116111.069799986,
2025-03-26 14:53:00,QQQ,1743000780000,488.957,489.3,488.94,489.23,134097,65593529.49039998,
2025-03-26 14:54:00,QQQ,1743000840000,489.23,489.28,488.98,489.11,107423,52537850.36409997,
2025-03-26 14:55:00,QQQ,1743000900000,489.11,489.17,488.995,489.02,35793,17504787.6825,
2025-03-26 14:56:00,QQQ,1743000960000,489.02,489.1901,488.62,488.7,59988,29324729.10970001,
2025-03-26 14:57:00,QQQ,1743001020000,488.72,488.9,488.7,488.75,43328,21178343.46869999,
2025-03-26 14:58:00,QQQ,1743001080000,488.75,489.07,488.75,489.0482,38132,18644848.075999994,
2025-03-26 14:59:00,QQQ,1743001140000,489.0482,489.05,488.67,488.87,43861,21439890.50029997,
2025-03-26 15:00:00,QQQ,1743001200000,488.87,489.13,488.68,489.09,72801,35595358.72810005,
2025-03-26 15:01:00,QQQ,1743001260000,489.09,489.16,488.86,489.0,69578,34020491.14729998,
2025-03-26 15:02:00,QQQ,1743001320000,489.0,489.25,489.0,489.18,103753,50743249.3387,
2025-03-26 15:03:00,QQQ,1743001380000,489.18,489.28,488.9715,488.9715,44660,21844684.113300044,
2025-03-26 15:04:00,QQQ,1743001440000,488.9715,489.09,488.9,489.0503,40520,19813327.253099978,
2025-03-26 15:05:00,QQQ,1743001500000,489.0201,489.1301,488.98,489.06,32506,15896533.956899997,
2025-03-26 15:06:00,QQQ,1743001560000,489.06,489.23,489.0203,489.22,36279,17745193.10380001,
2025-03-26 15:07:00,QQQ,1743001620000,489.22,489.22,489.0438,489.0601,33265,16270683.98679999,
2025-03-26 15:08:00,QQQ,1743001680000,489.0601,489.27,489.0601,489.21,75097,36737507.34160004,
2025-03-26 15:09:00,QQQ,1743001740000,489.21,489.34,489.15,489.19,55202,27006166.47470001,
2025-03-26 15:10:00,QQQ,1743001800000,489.19,489.39,489.15,489.3101,46466,22734063.835199986,
2025-03-26 15:11:00,QQQ,1743001860000,489.3101,489.34,489.05,489.17,33506,16390373.186600002,
2025-03-26 15:12:00,QQQ,1743001920000,489.17,489.3168,489.09,489.11,56816,27791227.581200022,
2025-03-26 15:13:00,QQQ,1743001980000,489.11,489.371,489.03,489.14,56652,27713659.869199988,
2025-03-26 15:14:00,QQQ,1743002040000,489.14,489.3,489.01,489.2451,32846,16066135.836700011,
2025-03-26 15:15:00,QQQ,1743002100000,489.2451,489.275,489.04,489.189,27914,13654490.84,
2025-03-26 15:16:00,QQQ,1743002160000,489.189,489.31,489.1503,489.16,20031,9799829.09520001,
2025-03-26 15:17:00,QQQ,1743002220000,489.16,489.3996,489.155,489.28,18985,9288974.39009999,
2025-03-26 15:18:00,QQQ,1743002280000,489.28,489.415,489.19,489.27,45365,22197968.83919999,
2025-03-26 15:19:00,QQQ,1743002340000,489.25,489.41,489.2412,489.408,33554,16418262.438800002,
2025-03-26 15:20:00,QQQ,1743002400000,489.39,489.48,489.3001,489.3371,67107,32842185.980399974,
2025-03-26 15:21:00,QQQ,1743002460000,489.3371,489.37,489.09,489.37,64512,31558968.818499997,
2025-03-26 15:22:00,QQQ,1743002520000,489.37,489.3799,488.935,488.935,45480,22246315.451300014,
2025-03-26 15:23:00,QQQ,1743002580000,488.935,489.1039,488.82,488.85,32389,15836265.236799994,
2025-03-26 15:24:00,QQQ,1743002640000,488.85,488.86,488.705,488.71,52365,25594692.45630001,
2025-03-26 15:25:00,QQQ,1743002700000,488.71,488.73,488.245,488.48,111650,54530687.75520005,
2025-03-26 15:26:00,QQQ,1743002760000,488.48,488.515,488.24,488.51,65558,32017760.016,
2025-03-26 15:27:00,QQQ,1743002820000,488.51,488.54,488.2012,488.28,38403,18752038.03170003,
2025-03-26 15:28:00,QQQ,1743002880000,488.28,488.28,487.92,488.17,65013,31733359.398500036,
2025-03-26 15:29:00,QQQ,1743002940000,488.17,488.43,488.146,488.35,34728,16958197.533599995,
2025-03-26 15:30:00,QQQ,1743003000000,488.35,488.74,488.3237,488.6901,74703,36496997.016799994,
2025-03-26 15:31:00,QQQ,1743003060000,488.6901,488.87,488.6601,488.71,42985,21009104.32340001,
2025-03-26 15:32:00,QQQ,1743003120000,488.71,488.87,488.66,488.81,26663,13032009.923499994,
2025-03-26 15:33:00,QQQ,1743003180000,488.81,488.92,488.74,488.79,26459,12933918.7809,
2025-03-26 15:34:00,QQQ,1743003240000,488.79,488.79,488.51,488.5668,23360,11415024.1875,
2025-03-26 15:35:00,QQQ,1743003300000,488.5668,488.6729,488.53,488.62,30394,14850570.966800023,
2025-03-26 15:36:00,QQQ,1743003360000,488.62,488.6697,488.435,488.48,39374,19235263.39279999,
