股票,策略,收益率(%),交易次数,胜率(%)
TSLA,"原始策略(无做空,无费用)",2.82,253,58.5
TSLA,"原始策略(有做空,无费用)",37.64,566,57.95
TSLA,"高级止损策略(有做空,无费用)",33.82,535,57.57
TSLA,"智能止损策略(有做空,无费用)",10.76,339,61.65
TSLA,"原始策略(无做空,有费用)",-23.96,258,49.22
TSLA,"原始策略(有做空,有费用)",-38.32,577,37.26
TSLA,"高级止损策略(有做空,有费用)",-29.71,543,40.88
TSLA,"智能止损策略(有做空,有费用)",-30.35,342,54.68
