股票,策略,收益率(%),交易次数,胜率(%)
TSLA,"原始策略(无做空,无费用,100万)",2.79,253,58.5
TSLA,"原始策略(有做空,无费用,100万)",38.56,566,57.95
TSLA,"高级止损策略(有做空,无费用,100万)",34.22,535,57.57
TSLA,"智能止损策略(有做空,无费用,100万)",10.85,339,61.65
TSLA,"原始策略(无做空,有费用,100万)",-15.78,258,52.71
TSLA,"原始策略(有做空,有费用,100万)",-20.42,577,44.37
TSLA,"高级止损策略(有做空,有费用,100万)",-13.52,543,46.59
TSLA,"智能止损策略(有做空,有费用,100万)",-21.18,342,56.14
