股票,策略,收益率(%),交易次数,胜率(%)
QQQ,"原始策略(无做空,无费用,100万)",,,
QQQ,"原始策略(有做空,无费用,100万)",,,
QQQ,"高级止损策略(有做空,无费用,100万)",,,
QQQ,"智能止损策略(有做空,无费用,100万)",,,
QQQ,"原始策略(无做空,有费用,100万)",,,
QQQ,"原始策略(有做空,有费用,100万)",,,
QQQ,"高级止损策略(有做空,有费用,100万)",,,
QQQ,"智能止损策略(有做空,有费用,100万)",,,
SPY,"原始策略(无做空,无费用,100万)",,,
SPY,"原始策略(有做空,无费用,100万)",,,
SPY,"高级止损策略(有做空,无费用,100万)",,,
SPY,"智能止损策略(有做空,无费用,100万)",,,
SPY,"原始策略(无做空,有费用,100万)",,,
SPY,"原始策略(有做空,有费用,100万)",,,
SPY,"高级止损策略(有做空,有费用,100万)",,,
SPY,"智能止损策略(有做空,有费用,100万)",,,
AAPL,"原始策略(无做空,无费用,100万)",,,
AAPL,"原始策略(有做空,无费用,100万)",,,
AAPL,"高级止损策略(有做空,无费用,100万)",,,
AAPL,"智能止损策略(有做空,无费用,100万)",,,
AAPL,"原始策略(无做空,有费用,100万)",,,
AAPL,"原始策略(有做空,有费用,100万)",,,
AAPL,"高级止损策略(有做空,有费用,100万)",,,
AAPL,"智能止损策略(有做空,有费用,100万)",,,
